x-axis,1,2
second,Ampere,Volt
0.00,0.38,266.96
0.00,0.17,277.69
0.00,0.32,275.62
0.00,0.38,258.18
0.00,0.17,307.88
0.00,0.17,261.36
0.00,0.17,281.41
0.00,0.17,273.37
0.00,0.38,259.44
0.00,0.07,285.64
0.00,-0.03,291.18
0.00,0.38,249.25
0.00,0.31,275.78
0.00,0.09,273.37
0.00,0.21,276.32
0.00,0.38,264.73
0.00,0.38,257.29
0.00,0.38,273.37
0.00,-0.03,306.25
0.00,0.38,248.39
0.00,0.38,265.33
0.00,-0.03,303.56
0.00,0.17,249.25
0.00,0.35,265.33
0.00,0.25,281.41
0.00,0.38,265.33
0.00,0.17,281.41
0.00,0.01,277.29
0.00,0.58,257.29
0.00,0.17,286.93
0.00,-0.03,273.37
0.00,0.33,278.15
0.00,0.38,246.80
0.00,0.38,263.07
0.00,0.17,281.41
0.00,-0.07,295.11
0.00,0.47,245.28
0.00,0.38,273.37
0.00,-0.03,289.52
0.00,0.17,265.33
0.00,0.38,261.11
0.00,0.17,286.64
0.00,0.37,265.66
0.00,-0.03,295.08
0.00,0.08,264.41
0.00,0.58,263.84
0.00,0.17,289.45
0.00,0.04,281.41
0.00,0.38,262.02
0.00,0.20,259.74
0.00,0.17,266.17
0.00,0.17,263.13
0.00,-0.03,300.53
0.00,0.55,249.25
0.00,0.17,282.51
0.00,-0.03,286.27
0.00,0.31,254.82
0.00,0.56,265.33
0.00,0.17,288.08
0.00,0.38,268.76
0.00,-0.03,289.45
0.00,0.36,257.74
0.00,0.38,268.57
0.00,0.17,278.36
0.00,0.17,279.14
0.00,0.38,264.94
0.00,0.17,253.85
0.00,0.17,269.41
0.00,0.17,287.44
0.00,0.17,281.60
0.00,0.52,257.29
0.00,0.17,289.45
0.00,-0.18,302.75
0.00,0.57,249.25
0.00,0.38,281.41
0.00,0.08,284.98
0.00,0.38,281.41
0.00,0.17,278.59
0.00,0.38,257.29
0.00,0.38,278.10
0.00,0.00,259.76
0.00,0.19,249.25
0.00,0.58,260.20
0.00,0.05,306.64
0.00,0.17,230.99
0.00,0.17,273.37
0.00,0.17,276.54
0.00,0.38,265.33
0.00,0.17,288.73
0.00,-0.03,302.82
0.00,0.58,249.25
0.00,0.24,286.91
0.00,-0.03,282.33
0.00,0.33,274.98
0.00,0.28,269.01
0.00,0.17,271.09
0.00,0.17,281.20
0.00,-0.03,244.95
0.00,0.47,245.15
0.00,0.58,277.37
0.00,-0.03,305.47
0.00,0.17,279.28
0.00,0.38,269.53
0.00,0.17,291.21
0.00,0.38,273.68
0.00,0.17,297.49
0.00,0.08,276.94
0.00,0.58,257.29
0.00,0.17,296.92
0.00,-0.03,275.91
0.00,0.38,262.01
0.00,0.38,273.37
0.00,0.17,273.37
0.00,0.17,264.65
0.00,-0.03,291.37
0.00,0.55,256.30
0.00,0.35,282.50
0.00,-0.03,307.24
0.00,0.30,265.33
0.00,0.38,265.33
0.00,0.14,290.79
0.00,0.17,273.37
0.00,0.04,294.94
0.00,0.17,273.84
0.00,0.54,265.33
0.00,0.17,289.45
0.00,-0.03,285.98
0.00,0.58,257.29
0.00,0.33,270.22
0.00,0.17,273.37
0.00,0.22,287.49
0.00,0.17,273.41
0.00,0.43,263.20
0.00,0.17,289.45
0.00,-0.18,306.49
0.00,0.38,249.55
0.00,0.38,275.75
0.00,0.08,301.07
0.00,0.38,231.17
0.00,0.17,273.37
0.00,0.17,270.73
0.00,0.38,278.08
0.00,0.17,270.34
0.00,-0.01,278.94
0.00,0.50,263.08
0.00,0.17,304.36
0.00,0.17,273.37
0.00,0.20,282.49
0.00,0.17,296.06
0.00,0.38,270.56
0.00,0.17,289.45
0.00,-0.03,296.15
0.00,0.58,249.25
0.00,0.38,289.45
0.00,-0.03,297.96
0.00,0.17,281.41
0.00,0.28,277.73
0.00,0.17,277.95
0.00,0.38,281.41
0.00,-0.03,297.49
0.00,0.27,253.36
0.00,0.58,271.33
